tau_idx,tau_value,R00,R01,R02,R10,R11,R12,R20,R21,R22
60,3614.6622945216545,0.43490955469559983,0.06567237616522892,-0.8980761761918016,-0.8709395200795932,0.2840137026001106,-0.40099946271647796,0.22873135245961163,0.9565685316506021,0.18071694070509364
61,3674.906666097015,-0.13961501268490584,0.4581303410826916,0.8778520597529237,0.15411403936680004,0.8857850653645625,-0.4377598438038221,-0.9781393106828099,0.07417148074937557,-0.19427321055771696
62,3735.1510376723763,-0.29006217933203815,0.7567416836802296,0.5858378242329189,0.28827590870364306,0.6528129079742626,-0.7005228815986502,-0.912557358516295,-0.03431226257475395,-0.40750673129994275
63,3795.395409247737,0.5760127622006368,0.1767411516062663,-0.7981051704574298,-0.7511084880477721,0.4996997170908289,-0.43143508425015137,0.3225605942525871,0.8479756824745839,0.42058519347116996
64,3855.639780823098,-0.2934929704029621,0.5445873282764874,0.7856758353193279,0.12499589102966549,0.8366756017888245,-0.5332447511199792,-0.9477541366566259,-0.0582973348617748,-0.3136295859740724
65,3915.8841523984593,0.547075704203414,0.24517023450295256,-0.8003747434696489,-0.8299575905029386,0.28335817133358665,-0.48049822549624743,0.10898886106798061,0.9271459986713276,0.35849926821522443
66,3976.12852397382,-0.22420984152921394,0.31044005977359607,0.9237731952428643,-0.014031819753308361,0.9467794143638479,-0.3215771269404276,-0.9744398673062671,-0.08506297563931879,-0.20792122349469092
67,4036.372895549181,0.5058770125832863,0.34802888780134916,-0.7892809014511664,-0.8508560826853946,0.050816004466735065,-0.5229356176885469,-0.1418885996022054,0.9361055639968139,0.3218291446670615
68,4096.617267124542,-0.09704274075596918,0.08353560321911847,0.9917683749048404,-0.10521132018098599,0.9900272445284228,-0.09368368693231936,-0.9897036347171532,-0.11343658178152573,-0.08728606613531976
69,4156.861638699903,0.4333646817130735,0.47657295282632817,-0.764900825779474,-0.8061572217452843,-0.17441785353071693,-0.5654104227883161,-0.4028716749433392,0.8616592325299672,0.30860619002900247
70,4217.1060102752635,0.06683811622176186,-0.11303042071166071,0.9913409051449817,-0.13642570142916272,0.9831960010473514,0.12129984136040065,-0.9883929857144311,-0.14335183123435288,0.0502947141583527
71,4277.350381850624,0.3155799408279738,0.6123785359936659,-0.7248460730398331,-0.6985056541184934,-0.3671120035907379,-0.6142626701860449,-0.6422609688526216,0.700158057494055,0.311896685481977
72,4337.594753425986,0.24524083112317335,-0.26460081553384435,0.9326539246520329,-0.10876632814973464,0.9484488948950556,0.29768201093309654,-0.9633414870184092,-0.17444512659049105,0.20381873613087714
